#,x1,x2,y1,y2,P0,P1,P2,P3,P4
1,20,1368,560.710,560.822,27400.961,7843.960,566.625,191983327.325,0.982
2,20,1368,560.748,560.817,27448.884,7763.511,567.526,193296569.759,0.981
3,20,1368,560.754,560.817,27433.909,7723.878,567.435,185892825.571,0.982
4,20,1368,560.709,560.803,27380.755,7819.258,567.272,187051194.193,0.982
5,20,1368,560.707,560.809,27437.825,7708.901,566.863,202811374.606,0.980
6,20,1368,560.648,560.778,27431.174,7726.833,567.123,187835897.280,0.982
7,20,1368,560.744,560.881,27432.089,7727.525,568.033,193267678.922,0.981
8,20,1368,560.697,560.822,27415.943,7743.605,569.218,190605333.609,0.982
9,20,1368,560.666,560.808,27432.439,7684.184,567.392,195123549.919,0.981
10,20,1368,560.655,560.813,27402.800,7752.342,568.766,190116511.255,0.982
11,20,1368,560.705,560.799,27396.344,7722.638,568.863,194114441.417,0.981
12,20,1368,560.710,560.822,27435.384,7648.691,567.584,186139703.036,0.982
13,20,1368,560.713,560.818,27420.806,7645.609,567.643,185228520.111,0.982
14,20,1368,560.708,560.795,27389.303,7699.508,568.170,195546486.844,0.981
15,20,1368,560.698,560.811,27403.733,7672.413,568.619,192878516.703,0.981
16,20,1368,560.719,560.814,27380.768,7696.172,568.247,193817960.729,0.981
17,20,1368,560.747,560.829,27379.680,7687.456,568.211,194584405.268,0.981
18,20,1368,560.726,560.812,27380.554,7658.707,568.091,202565749.472,0.980
19,20,1368,560.716,560.791,27378.790,7648.190,567.979,184191860.031,0.982
20,20,1368,560.688,560.813,27331.373,7706.096,567.025,181607116.058,0.982
21,20,1368,560.705,560.816,25814.001,7135.127,566.769,184849826.291,0.979
22,20,1368,559.712,559.779,25818.149,7115.381,566.830,183661134.863,0.979
23,20,1368,559.677,559.784,25879.856,7026.081,566.740,184539530.090,0.978
24,20,1368,559.704,559.745,25812.098,7127.776,566.246,193360673.967,0.978
25,20,1368,559.691,559.766,25811.130,7150.058,567.234,182194714.951,0.979
26,20,1368,559.717,559.784,25875.572,7028.702,567.231,181482422.618,0.979
27,20,1368,559.693,559.803,25856.621,7070.468,568.094,179546929.440,0.979
28,20,1368,559.708,559.777,25889.448,7035.007,568.097,183446293.148,0.979
29,20,1368,559.726,559.787,25881.997,7060.686,566.746,194065136.418,0.978
30,20,1368,559.724,559.767,25914.326,7017.591,568.250,166928572.639,0.981
31,20,1368,559.672,559.730,25882.085,7038.660,567.006,181028088.120,0.979
32,20,1368,559.738,559.801,25902.164,7023.672,568.793,179043917.802,0.979
33,20,1368,559.644,559.791,25906.021,7031.076,567.695,177984534.104,0.979
34,20,1368,559.731,559.851,25899.429,7006.174,568.291,176190199.561,0.979
35,20,1368,559.701,559.811,25885.056,7048.880,567.451,189856214.503,0.978
36,20,1368,559.739,559.762,25859.487,7065.146,567.808,190418021.879,0.978
37,20,1368,559.702,559.806,25888.370,7059.668,567.448,180922332.306,0.979
38,20,1368,559.666,559.806,25913.657,7014.095,567.682,201487520.434,0.977
39,20,1368,559.698,559.768,25927.822,6980.520,567.984,176336059.268,0.979
40,20,1368,559.703,559.808,25849.140,7099.102,567.082,179593809.298,0.979
